item_id,prompt_A,prompt_B,q1_single_atom,q2_semantic_change,q3_coherent,q4_which_atom,q5_notes
E0080,The smooth river flowed through the rocky canyon and the sandy beach.,The rough river flowed through the rocky canyon and the sandy beach.,,,,,
E0081,a bicycle on the right of a girl,a bicycle on the left of a girl,,,,,
E0082,a clock in front of a sheep,a clock behind a sheep,,,,,
E0083,a turtle on the top of a backpack,a turtle on the bottom of a backpack,,,,,
E0084,a person in front of a balloon,a person hidden by a balloon,,,,,
E0085,an oval dining table and a rectangular tablecloth,an pentagonal dining table and a rectangular tablecloth,,,,,
E0086,A child is playing with a toy guitar and pretending to be a rock star.,A child is ignoring a toy guitar and pretending to be a rock star.,,,,,
E0087,The fluffy white kitten snuggled next to the warm red blanket.,The fluffy white kitten snuggled far from the warm red blanket.,,,,,
E0088,a television hidden by a bag,a television in front of a bag,,,,,
E0089,a pink cow and a red orange,a brown cow and a red orange,,,,,
E0090,"three swans, two desks, three birds, one paddle and one television","four swans, two desks, three birds, one paddle and one television",,,,,
E0091,The pyramidal tent with its triangular entrance and rectangular base sheltered campers in the oval campground.,The diamond tent with its triangular entrance and rectangular base sheltered campers in the oval campground.,,,,,
E0092,a couch behind a girl,a couch in front of a girl,,,,,
E0093,woolen gloves and a glass mirror,leather gloves and a glass mirror,,,,,
E0094,The cylindrical vase with its teardrop handles and oval opening displayed a bouquet of pentagonal flowers on the square table.,The rectangular vase with its teardrop handles and oval opening displayed a bouquet of pentagonal flowers on the square table.,,,,,
E0095,a cup on the left of a fish,a cup on the right of a fish,,,,,
E0096,A man has yellow tennis shoes with orange laces.,A man has brown tennis shoes with orange laces.,,,,,
E0097,a leather wallet and a glass bottle,a woolen wallet and a glass bottle,,,,,
E0098,a metallic car and a glass table,a metal car and a glass table,,,,,
E0099,A person is looking at a painting in a museum.,A person is looking away from a painting in a museum.,,,,,
E0100,a desk in front of a painting,a desk behind a painting,,,,,
E0101,The sleek black limousine pulled up next to the colorful party balloons.,The sleek black limousine pulled up far from the colorful party balloons.,,,,,
E0102,a white sky and a blue airplane,a red sky and a blue airplane,,,,,
E0103,a bee hidden by a butterfly,a bee in front of a butterfly,,,,,
E0104,A person is walking with a friend and catching up on old times.,A person is running with a friend and catching up on old times.,,,,,
E0105,a white cat and a red ball,a black cat and a red ball,,,,,
E0106,The warm brown light shone down on the colorful flower garden.,The warm yellow light shone down on the colorful flower garden.,,,,,
E0107,a spherical vase and a triangular picture frame,a circular vase and a triangular picture frame,,,,,
E0108,a spherical soccer ball and a cubic soccer goal,a conical soccer ball and a cubic soccer goal,,,,,
E0109,"four rabbits, four printers, one painting, one bee and one helmet","five rabbits, four printers, one painting, one bee and one helmet",,,,,
E0110,a refrigerator behind a clock,a refrigerator in front of a clock,,,,,
E0111,one bird,two bird,,,,,
E0112,A man is holding a telescope and observing the stars.,A man is dropping a telescope and observing the stars.,,,,,
E0113,The fragrant bouquet arranged the colorful flowers and the purple leaves.,The fragrant bouquet arranged the colorful flowers and the green leaves.,,,,,
E0114,A man is holding a trophy and celebrating a win.,A man is dropping a trophy and celebrating a win.,,,,,
E0115,a dog on the top of a phone,a dog on the bottom of a phone,,,,,
E0116,a giraffe on side of a candle,a giraffe far from a candle,,,,,
E0117,one chairs,eight chairs,,,,,
E0118,a fabric band and a plastic cutlery,a rubber band and a plastic cutlery,,,,,
E0119,two women chatted by the fountain,three women chatted by the fountain,,,,,
E0120,A person is looking at a map and planning a hiking trail.,A person is looking away from a map and planning a hiking trail.,,,,,
E0121,a orange backpack and a blue elephant,a brown backpack and a blue elephant,,,,,
E0122,a pyramidal pyramid and a pentagonal base,a diamond pyramid and a pentagonal base,,,,,
E0123,three chickens,two chickens,,,,,
E0124,a wooden jewelry box and a fluffy sweater,a glass jewelry box and a fluffy sweater,,,,,
E0125,glass chopsticks and a leather belt,wooden chopsticks and a leather belt,,,,,
E0126,a yellow book and a red cat,a brown book and a red cat,,,,,
E0127,A person is looking at a sculpture in a park.,A person is looking away from a sculpture in a park.,,,,,
E0128,The smooth brown leather couch sat next to the soft white throw pillow.,The smooth brown leather couch sat far from the soft white throw pillow.,,,,,
E0129,one cake,two cake,,,,,
E0130,A person is looking away from a sunrise and taking a deep breath.,A person is looking at a sunrise and taking a deep breath.,,,,,
E0131,a rubber floor and a glass jar,a wooden floor and a glass jar,,,,,
E0132,a car behind a television,a car in front of a television,,,,,
E0133,A woman is dropping a baby and showing it off to family.,A woman is holding a baby and showing it off to family.,,,,,
E0134,A person is walking through a city and taking in the sights.,A person is running through a city and taking in the sights.,,,,,
E0135,a woolen wallet and a glass cup,a leather wallet and a glass cup,,,,,
E0136,a person hidden by a sofa,a person in front of a sofa,,,,,
E0137,a bee on the bottom of a table,a bee on the top of a table,,,,,
E0138,"three trains, four trucks and two suitcases","five trains, four trucks and two suitcases",,,,,
E0139,A woman is dropping a purse and searching for her phone.,A woman is holding a purse and searching for her phone.,,,,,
E0140,a blue bench and a green boat,a red bench and a green boat,,,,,
E0141,A woman is holding a yoga mat and getting ready for a class.,A woman is dropping a yoga mat and getting ready for a class.,,,,,
E0142,a bicycle behind a vase,a bicycle in front of a vase,,,,,
E0143,one boats,eight boats,,,,,
E0144,a boy near a painting,a boy far from a painting,,,,,
E0145,a red car and a brown horse,a blue car and a brown horse,,,,,
E0146,The round clock was on top of the blue dresser.,The round clock was under the blue dresser.,,,,,
E0147,A child is ignoring a model train set.,A child is playing with a model train set.,,,,,
E0148,A child is ignoring a hula hoop in the backyard.,A child is playing with a hula hoop in the backyard.,,,,,
E0149,a fabric cutlery and a metallic watch,a plastic cutlery and a metallic watch,,,,,
E0150,a white cloud and a gray sky,a red cloud and a gray sky,,,,,
E0151,A bright white wall in a bathroom adds appeal to a yellow tiled floor.,A bright red wall in a bathroom adds appeal to a yellow tiled floor.,,,,,
E0152,A woman is dropping a bouquet of flowers and presenting it to someone.,A woman is holding a bouquet of flowers and presenting it to someone.,,,,,
E0153,a yellow lemon and a red apple,a brown lemon and a red apple,,,,,
E0154,a table on the left of a giraffe,a table on the right of a giraffe,,,,,
E0155,a book hidden by a frog,a book in front of a frog,,,,,
E0156,a rabbit on the right of a computer,a rabbit on the left of a computer,,,,,
E0157,a green apple and a yellow orange,a purple apple and a yellow orange,,,,,
E0158,The fisherman is reeling in a big catch.,The fisherman is reeling in a small catch.,,,,,
E0159,A man is dropping a chainsaw and cutting down a tree.,A man is holding a chainsaw and cutting down a tree.,,,,,
E0160,A black cat standing on top of a gray car.,A white cat standing on top of a gray car.,,,,,
E0161,a fish on the left of a airplane,a fish on the right of a airplane,,,,,
E0162,a green bowl and a blue chair,a red bowl and a blue chair,,,,,
E0163,a bicycle on the top of a woman,a bicycle on the bottom of a woman,,,,,
E0164,a fluffy curtain and a leather chair,a fabric curtain and a leather chair,,,,,
E0165,plastic gloves and a metallic key,rubber gloves and a metallic key,,,,,
E0166,"A child is ignoring their toys, creating imaginary worlds and adventures.","A child is playing with their toys, creating imaginary worlds and adventures.",,,,,
E0167,a metallic spoon and a wooden door,a metal spoon and a wooden door,,,,,
E0168,A woman is holding a suitcase and preparing for a trip.,A woman is dropping a suitcase and preparing for a trip.,,,,,
E0169,five fish darted around the aquarium,four fish darted around the aquarium,,,,,
E0170,a orange book and a red giraffe,a brown book and a red giraffe,,,,,
E0171,a wooden floor and fluffy clouds,a glass floor and fluffy clouds,,,,,
E0172,A dog is standing on a couch and snoring softly.,A dog is lying on a couch and snoring softly.,,,,,
E0173,a horse hidden by a chicken,a horse in front of a chicken,,,,,
E0174,seven cats,eight cats,,,,,
E0175,The diamond chandelier with its circular bulbs and oblong crystals illuminated the triangular ballroom.,The teardrop chandelier with its circular bulbs and oblong crystals illuminated the triangular ballroom.,,,,,
E0176,a mouse in front of a chair,a mouse behind a chair,,,,,
E0177,a boy near a cat,a boy far from a cat,,,,,
E0178,The teardrop mirror with its oval frame and triangular hooks hung in the round bathroom.,The diamond mirror with its oval frame and triangular hooks hung in the round bathroom.,,,,,
E0179,a triangular slice of watermelon and a teardrop seed spitter,a spherical slice of watermelon and a teardrop seed spitter,,,,,
E0180,a lamp behind a man,a lamp in front of a man,,,,,
E0181,a wallet hidden by a candle,a wallet in front of a candle,,,,,
E0182,a yellow pillow and a pink blanket,a purple pillow and a pink blanket,,,,,
E0183,"five cameras, a couch, four people, and a helmet filled the room","four cameras, a couch, four people, and a helmet filled the room",,,,,
E0184,A child is ignoring a toy airplane in the backyard.,A child is playing with a toy airplane in the backyard.,,,,,
E0185,seven shrimp,six shrimp,,,,,
E0186,a smooth pillow and a glass bottle,a fluffy pillow and a glass bottle,,,,,
E0187,A woman is painting a landscape while sitting on a hill.,A woman is painting a landscape while standing on a hill.,,,,,
E0188,a cylindrical party hat and a diamond party favor,a conical party hat and a diamond party favor,,,,,
E0189,one mice,eight mice,,,,,
E0190,"A red kitchen counter with a big, brown bowl on it.","A white kitchen counter with a big, brown bowl on it.",,,,,
E0191,two bottles,three bottles,,,,,
E0192,a bag in front of a fish,a bag behind a fish,,,,,
E0193,A person is looking at a statue in a museum.,A person is looking away from a statue in a museum.,,,,,
E0194,a butterfly behind a vase,a butterfly in front of a vase,,,,,
E0195,a purple apple and a red car,a green apple and a red car,,,,,
E0196,a yellow banana and a green pear,a brown banana and a green pear,,,,,
E0197,a lamp in front of a wallet,a lamp behind a wallet,,,,,
E0198,a square watermelon and a rectangular sandwich,a round watermelon and a rectangular sandwich,,,,,
E0199,A plane is resting overhead.,A plane is flying overhead.,,,,,
E0200,a spherical slice of pizza and a cylindrical pizza cutter,a triangular slice of pizza and a cylindrical pizza cutter,,,,,
E0201,an pentagonal plate and a rectangular placemat,an oval plate and a rectangular placemat,,,,,
E0202,three printers and one candle,two printers and one candle,,,,,
E0203,a plastic chair and a wooden table,a fabric chair and a wooden table,,,,,
E0204,a square muffin and a rectangular granola bar,a round muffin and a rectangular granola bar,,,,,
E0205,a conical block and a cylindrical pencil,a cubic block and a cylindrical pencil,,,,,
E0206,An orange cat sleeping on top of a red car.,An pink cat sleeping on top of a red car.,,,,,
E0207,a desk on the top of a turtle,a desk on the bottom of a turtle,,,,,
E0208,The yellow pencil was on the right of the green notebook.,The yellow pencil was on the left of the green notebook.,,,,,
E0209,The sour lemon lay far from the sweet orange and the fuzzy peach.,The sour lemon lay next to the sweet orange and the fuzzy peach.,,,,,
